step,policy,seed,failure_scenario,coverage,active_drones,mean_energy,hives,connected_hive_fraction,exploration_depth
0,carrier_only,7,0,0.007291666666666667,24,32.0,1,1.0,10.523415570254752
1,carrier_only,7,0,0.009375,24,32.0,1,1.0,11.03811125843981
2,carrier_only,7,0,0.011226851851851852,24,32.0,1,1.0,11.744940399351227
3,carrier_only,7,0,0.012962962962962963,24,32.0,1,1.0,12.56225772201615
4,carrier_only,7,0,0.015393518518518518,24,32.0,1,1.0,13.216748133429373
5,carrier_only,7,0,0.017361111111111112,24,32.0,1,1.0,13.935300605601844
6,carrier_only,7,0,0.019212962962962963,24,32.0,1,1.0,14.59213979231648
7,carrier_only,7,0,0.02141203703703704,24,32.0,1,1.0,15.329010437758837
8,carrier_only,7,0,0.02326388888888889,24,32.0,1,1.0,16.492619252676096
9,carrier_only,7,0,0.025347222222222222,24,32.0,1,1.0,16.97735321501842
10,carrier_only,7,0,0.026851851851851852,24,32.0,1,1.0,17.5445651002802
11,carrier_only,7,0,0.028587962962962964,24,32.0,1,1.0,18.429691372581278
12,carrier_only,7,0,0.031018518518518518,24,32.0,1,1.0,19.629102636323275
13,carrier_only,7,0,0.03356481481481482,24,32.0,1,1.0,20.197718342843338
14,carrier_only,7,0,0.03599537037037037,24,32.0,1,1.0,21.44971808098547
15,carrier_only,7,0,0.03831018518518518,24,32.0,1,1.0,22.294080655826384
16,carrier_only,7,0,0.03981481481481482,24,32.0,1,1.0,22.983055208268944
17,carrier_only,7,0,0.04212962962962963,24,32.0,1,1.0,23.69021605450056
18,carrier_only,7,0,0.043287037037037034,24,32.0,1,1.0,24.11127115165771
19,carrier_only,7,0,0.04594907407407407,24,32.0,1,1.0,24.944658357586466
20,carrier_only,7,0,0.047453703703703706,24,32.0,1,1.0,25.381683262762692
21,carrier_only,7,0,0.049652777777777775,24,32.0,1,1.0,26.329050614795083
22,carrier_only,7,0,0.05219907407407407,24,32.0,1,1.0,27.42821943157296
23,carrier_only,7,0,0.053703703703703705,24,32.0,1,1.0,27.72007144558275
24,carrier_only,7,0,0.05555555555555555,24,32.0,1,1.0,28.467770222375133
25,carrier_only,7,0,0.057060185185185186,24,32.0,1,1.0,28.96007714621999
26,carrier_only,7,0,0.05949074074074074,24,31.99979361535455,1,1.0,29.29401793969977
27,carrier_only,7,0,0.06157407407407407,24,32.0,1,1.0,30.170666051322147
28,carrier_only,7,0,0.06435185185185185,24,31.99790673439996,1,1.0,30.947602744364886
